sample,batch
GSE80417_9704031032_R02C01,GSE80417
GSE80417_9704031032_R06C01,GSE80417
GSE80417_9721367113_R05C01,GSE80417
GSE80417_9721367113_R06C01,GSE80417
GSE80417_9721367113_R06C02,GSE80417
GSE80417_9741779020_R01C01,GSE80417
GSE80417_9741779020_R01C02,GSE80417
GSE80417_9741779020_R02C01,GSE80417
GSE80417_9741779020_R02C02,GSE80417
GSE80417_9741779020_R03C02,GSE80417
GSE80417_9741779020_R04C01,GSE80417
GSE80417_9741779020_R04C02,GSE80417
GSE80417_9741779020_R05C01,GSE80417
GSE80417_9741779020_R05C02,GSE80417
GSE80417_9741779020_R06C02,GSE80417
GSE80417_9741779024_R01C01,GSE80417
GSE80417_9741779024_R01C02,GSE80417
GSE80417_9741779024_R02C01,GSE80417
GSE80417_9741779024_R02C02,GSE80417
GSE80417_9741779024_R03C02,GSE80417
GSE80417_9741779024_R04C01,GSE80417
GSE80417_9741779024_R04C02,GSE80417
GSE80417_9741779024_R05C01,GSE80417
GSE80417_9741779024_R05C02,GSE80417
GSE80417_9741779055_R01C02,GSE80417
GSE80417_9741779055_R02C01,GSE80417
GSE80417_9741779055_R02C02,GSE80417
GSE80417_9741779055_R03C01,GSE80417
GSE80417_9741779055_R03C02,GSE80417
GSE80417_9741779055_R04C01,GSE80417
GSE80417_9741779055_R04C02,GSE80417
GSE80417_9741779055_R05C01,GSE80417
GSE80417_9741779055_R05C02,GSE80417
GSE80417_9741779055_R06C01,GSE80417
GSE80417_9741779055_R06C02,GSE80417
GSE80417_9741950169_R01C01,GSE80417
GSE80417_9741950169_R01C02,GSE80417
GSE80417_9741950169_R02C01,GSE80417
GSE80417_9741950169_R03C01,GSE80417
GSE80417_9741950169_R03C02,GSE80417
GSE80417_9741950169_R05C02,GSE80417
GSE80417_9741950169_R06C01,GSE80417
GSE80417_9741950169_R06C02,GSE80417
GSE80417_9769100109_R01C01,GSE80417
GSE80417_9769100109_R01C02,GSE80417
GSE80417_9769100109_R02C01,GSE80417
GSE80417_9769100109_R02C02,GSE80417
GSE80417_9769100109_R03C02,GSE80417
GSE80417_9769100109_R04C02,GSE80417
GSE80417_9769100109_R05C01,GSE80417
GSE80417_9769100109_R05C02,GSE80417
GSE80417_9769100109_R06C01,GSE80417
GSE80417_9769100109_R06C02,GSE80417
GSE80417_9806233007_R01C01,GSE80417
GSE80417_9806233007_R01C02,GSE80417
GSE80417_9806233007_R02C01,GSE80417
GSE80417_9806233007_R02C02,GSE80417
GSE80417_9806233007_R03C01,GSE80417
GSE80417_9806233007_R03C02,GSE80417
GSE80417_9806233007_R04C01,GSE80417
GSE80417_9806233007_R04C02,GSE80417
GSE80417_9806233007_R05C01,GSE80417
GSE80417_9806233007_R05C02,GSE80417
GSE80417_9806233007_R06C01,GSE80417
GSE80417_9806233007_R06C02,GSE80417
GSE80417_9806233017_R01C01,GSE80417
GSE80417_9806233017_R02C02,GSE80417
GSE80417_9806233017_R03C01,GSE80417
GSE80417_9806233017_R03C02,GSE80417
GSE80417_9806233017_R04C01,GSE80417
