"","kME1","kME3","kME5","kME6","kME2","kME4","kME0"
"A1BG",-0.262654362050718,-0.0945382128134661,-0.22247906371249,0.127882934799438,-0.00725348155361316,0.0561083232420235,-0.29976704391222
"A2BP1",-0.121341667736557,-0.76138264740316,-0.577639831040736,0.249306327426248,0.496332544880677,0.86247923543913,-0.167319592734746
"A2M",-0.118833908076649,0.474006231029753,0.2735391867858,-0.0743885622170409,-0.488622862025283,-0.349968345732188,-0.110756943805208
"A2ML1",0.210108992127049,0.713239794323225,0.64761353242774,-0.0350209957566672,-0.544778768194687,-0.609425325571496,0.259118542799177
"A4GALT",0.00465654372535096,0.507299609812333,0.374169061703426,-0.0263064953818044,-0.41971894751771,-0.428770196341968,0.108379026485868
"A4GNT",0.152412125062065,0.738964788767858,0.647839860813379,-0.049823462844791,-0.647458478934203,-0.603029925699104,0.195273319874879
"AAA1",0.0563704895512497,0.442493163573773,0.328955604378199,-0.0254663192650468,-0.270558031775221,-0.382893578915983,0.126485123897095
"AAAS",0.343629321395701,0.243789291917291,0.360164856898914,-0.144155161226338,-0.024616643902026,-0.299539048744428,0.353189096089915
"AACS",0.41010301809778,0.516260413283137,0.631015386635251,0.0632426434659703,-0.406046653229591,-0.410801693246045,0.336143141667796
"AACSL",-0.0336149002778309,-0.623252817102234,-0.466958593959342,0.105607241370347,0.593629288340832,0.58191007604181,-0.0507473239558971
"AADACL3",-0.0965723393713833,-0.237595813488267,-0.287591610357974,-0.210233634159865,0.613267187754123,0.0523739922339703,-0.070296804925159
"AADAT",0.0211851656930028,-0.708388741077188,-0.447508813432024,0.179277108600621,0.475187090938861,0.804399587389398,-0.0548150063406777
"AAGAB",0.657605134198259,0.00953410830364429,0.428056526139298,0.145337385880604,-0.0196311314658369,0.0271977488825134,0.554977204707385
"AAK1",0.519055926567594,0.11001882347177,0.389048756689406,0.0876347928642557,-0.124092520986663,-0.0626102449394108,0.416007257544887
"AAMP",0.613793859050587,0.125167512469392,0.459733131253657,0.0595378670048906,-0.075111139906147,-0.0998925487162146,0.570134871540037
"AANAT",0.635804805990477,0.0710247742714,0.46599555849885,0.146618076491069,-0.0628370132139036,-0.0245420609937571,0.700007292606672
"AARS2",0.465531921226542,-0.10588097812694,0.194525166397493,0.018117108887563,0.288828696161332,0.0424849066866724,0.443442202802669
"AARSD1",0.643035008661391,0.0595608708729832,0.42419924886399,0.0761075562395957,0.00655367020274918,-0.0521454093655697,0.628473840388045
"AASDH",0.594985803420495,0.159069018406308,0.480496106579539,0.0834703971705372,-0.0979786596418298,-0.122478473809598,0.587318785644962
"AASDHPPT",0.635419096031955,0.173572647330248,0.493294617783956,0.0372959642383816,-0.0757571759420881,-0.178201376317037,0.568653823631811
"AASS",0.267212534324796,-0.3546380053731,-0.0555334427183215,0.124452478879817,0.269959685811096,0.4070471816995,0.3383482824722
"AATF",0.518098523010685,-0.435797875815423,0.00825005102245442,0.15310432805424,0.358709905919049,0.423585519313525,0.376209425407811
"AATK",-0.161327776013168,0.0754238210738898,-0.107548367789224,-0.296051947639861,0.382732430890343,-0.261040515219428,-0.114933480960182
"ABAT",0.202203282948587,0.268935442054646,0.325803789821219,-0.000112690317183589,-0.206585586727979,-0.21745411182923,0.208128766004317
"ABCA2",-0.247052017960287,-0.246911642003006,-0.38606032830331,-0.206969886104726,0.415036276351536,0.119276167835321,-0.24226098242459
"ABCA3",-0.281512124670843,0.477417941909117,0.134077410503959,-0.132604680695728,-0.360013135816522,-0.378792510576735,-0.314980318573818
"ABCA4",0.143775983991889,0.472784749352701,0.415654484938233,-0.134522622756559,-0.210955778771228,-0.462007776248584,0.244185376329878
"ABCA5",0.60375809098977,-0.157380062355063,0.260778785611097,0.106490016715346,0.129906675234448,0.163605043651682,0.519836264530428
"ABCA7",0.76012604281224,0.00666922707036905,0.479093193398169,0.194851790638711,-0.00766174994167186,0.032779914283366,0.674575495662911
"ABCB1",0.637503509604968,-0.200609484858655,0.273495408785451,0.152677379158996,0.148202887738256,0.233244833053539,0.613206697325813
"ABCB10",0.577047761393043,0.182033519733014,0.464306999280844,0.0514780323818098,-0.108686072048444,-0.146054910225127,0.558755459341312
"ABCB11",-0.191985218688448,0.127842385509988,-0.0651003627046527,-0.161433423826832,0.0764944865528278,-0.187580596149958,-0.148528669402087
"ABCB4",0.14154128646261,0.755420674264353,0.616299962387275,-0.0773485405798083,-0.565969690030041,-0.632814580121105,0.237002441720304
"ABCB6",-0.102965719731094,-0.793981840958368,-0.655117556251589,0.00273163146350172,0.827590521374688,0.657640382733299,-0.174354976913357
"ABCB8",0.120207749939011,-0.167887983002543,-0.0900400716329009,-0.181387308002555,0.341082626029122,0.0503032646595208,0.106214716259434
"ABCB9",0.478987078554185,0.274306633712024,0.486083835010361,0.0103585454150874,-0.151726523136034,-0.207747598379376,0.478780579283038
"ABCC1",-0.105558965635541,-0.593201556598183,-0.534600908057814,-0.0870345017500097,0.792360725317863,0.381420069333545,-0.048463552623087
"ABCC11",0.201452612657066,0.568860087403694,0.539398527747168,-0.0549970876409338,-0.395131996281375,-0.509498711917072,0.216595818595223
"ABCC13",-0.133314263890427,0.00970418068568964,-0.0785199626559643,-0.0400992624049805,-0.000497804847995015,-0.0238981260205296,-0.10378005901483
"ABCC2",0.031518886486888,-0.370009260479573,-0.252806114123998,0.0627540887905189,0.357435049459836,0.30462790011496,-0.0894132610255993
"ABCC3",-0.133535532373513,-0.456546132252469,-0.385021228136191,0.104156601092651,0.338297337165463,0.530871384368596,-0.083611983831206
"ABCC4",-0.187532115930895,-0.569168561165512,-0.497444964873538,-0.0511772668011544,0.494136296155072,0.51596926212517,-0.152163376310849
"ABCC5",0.458525787512921,-0.216901741829123,0.141079489478151,0.105177814289927,0.198653119510386,0.214098303728508,0.47735550023237
"ABCC8",0.101863323174641,-0.514621617062203,-0.252717836877581,0.287372717592162,0.322116726398745,0.670257790806058,0.0877755702437029
"ABCC9",0.146476918187568,0.15481857503939,0.237695128744188,0.124568828696347,-0.186355954731487,-0.00800463042299544,0.0878156981797385
"ABCD2",0.39654118543615,0.0170716314824692,0.298996755402945,0.0354008848439952,-0.0507971010719175,-0.0109519100587253,0.340061816851471
"ABCD3",0.587012242461608,0.0747496354107165,0.411483996152545,0.0958510043859987,-0.0602291985561084,-0.055386356405468,0.565853158472988
"ABCD4",0.293328605309736,0.109229635358864,0.259867316797416,0.0337911240094234,-0.0853938082739711,-0.0737044262772925,0.261862739403649
"ABCE1",0.543454397352361,0.121362115618012,0.401255598005429,0.0498179513932136,-0.0920759126220677,-0.0972682067576556,0.431060379667327
"ABCF1",0.275158468819709,0.535472775988003,0.568528803242734,-0.0479684460105947,-0.463135567178853,-0.445611428350357,0.368150583226657
"ABCF2",0.235433502177061,0.37568061686373,0.395127169716952,-0.0306606514597645,-0.245585723166333,-0.335398845493714,0.23016571185872
"ABCF3",0.446244058121723,-0.00325599626390651,0.272247991870103,0.0952847677693824,0.0682046534585986,0.0035686141475396,0.44408239609762
"ABCG1",-0.0423202678928977,-0.348615494892686,-0.28963686297551,-0.044639071919108,0.463500966356047,0.237453227718226,-0.0693455370661402
"ABCG2",0.498390127093528,0.10280577297097,0.360704296845769,0.053895964381939,-0.0556382686353148,-0.0654312391488263,0.539771109980994
"ABCG4",0.178528327129998,-0.358962596680231,-0.153310827887295,0.0785407961062388,0.346712489748513,0.274665145082628,0.170642632827632
"ABCG5",-0.305849786370098,-0.086209496474784,-0.23960925835393,0.1066399641549,-0.0396692602093375,0.210450313893553,-0.253828804407966
"ABCG8",-0.183670357892241,0.794790737859042,0.41763608772621,-0.18882437025607,-0.644289748930275,-0.703920012024587,-0.0314918579635703
"ABHD1",0.114022416832437,-0.296576229156168,-0.160658704833179,-0.0428439773449651,0.428830382393986,0.183047940940054,0.195350158107109
"ABHD10",0.201089746420049,-0.0912733810567478,0.0583171618193481,0.0845357533369197,0.0651932294907143,0.0734958659076514,0.12259440711849
