"Gene","ModuleColor","ModuleLabel"
"A1BG","grey",0
"A2BP1","yellow",4
"A2M","blue",2
"A2ML1","brown",3
"A4GALT","brown",3
"A4GNT","brown",3
"AAA1","brown",3
"AAAS","grey",0
"AACS","green",5
"AACSL","brown",3
"AADACL3","blue",2
"AADAT","yellow",4
"AAGAB","turquoise",1
"AAK1","turquoise",1
"AAMP","turquoise",1
"AANAT","turquoise",1
"AARS2","turquoise",1
"AARSD1","turquoise",1
"AASDH","turquoise",1
"AASDHPPT","turquoise",1
"AASS","grey",0
"AATF","blue",2
"AATK","blue",2
"ABAT","grey",0
"ABCA2","blue",2
"ABCA3","brown",3
"ABCA4","brown",3
"ABCA5","turquoise",1
"ABCA7","turquoise",1
"ABCB1","turquoise",1
"ABCB10","turquoise",1
"ABCB11","grey",0
"ABCB4","brown",3
"ABCB6","blue",2
"ABCB8","blue",2
"ABCB9","grey",0
"ABCC1","blue",2
"ABCC11","brown",3
"ABCC13","grey",0
"ABCC2","blue",2
"ABCC3","yellow",4
"ABCC4","brown",3
"ABCC5","turquoise",1
"ABCC8","yellow",4
"ABCC9","grey",0
"ABCD2","turquoise",1
"ABCD3","turquoise",1
"ABCD4","grey",0
"ABCE1","turquoise",1
"ABCF1","brown",3
"ABCF2","brown",3
"ABCF3","turquoise",1
"ABCG1","blue",2
"ABCG2","turquoise",1
"ABCG4","blue",2
"ABCG5","grey",0
"ABCG8","brown",3
"ABHD1","blue",2
"ABHD10","grey",0
"ABHD11","grey",0
"ABHD12","turquoise",1
"ABHD12B","blue",2
"ABHD14A","turquoise",1
"ABHD14B","turquoise",1
"ABHD15","blue",2
"ABHD2","turquoise",1
"ABHD3","turquoise",1
"ABHD4","blue",2
"ABHD5","grey",0
"ABHD6","grey",0
"ABHD8","blue",2
"ABI1","turquoise",1
"ABI2","grey",0
"ABI3","brown",3
"ABI3BP","blue",2
"ABL1","turquoise",1
"ABL2","turquoise",1
"ABLIM1","grey",0
"ABLIM2","grey",0
"ABLIM3","blue",2
"ABO","grey",0
"ABP1","blue",2
"ABR","blue",2
"ABTB1","grey",0
"ABTB2","green",5
"ACAA1","turquoise",1
"ACAA2","turquoise",1
"ACACA","turquoise",1
"ACACB","grey",0
"ACAD10","grey",0
"ACAD11","turquoise",1
"ACAD8","blue",2
"ACAD9","turquoise",1
"ACADL","yellow",4
"ACADM","grey",0
"ACADS","blue",2
"ACADSB","turquoise",1
"ACADVL","grey",0
"ACAN","yellow",4
"ACAP1","blue",2
"ACAP2","turquoise",1
"ACAP3","grey",0
"ACAT1","grey",0
"ACAT2","turquoise",1
"ACBD3","turquoise",1
"ACBD4","blue",2
"ACBD5","turquoise",1
"ACBD7","turquoise",1
"ACCN1","grey",0
"ACCN2","brown",3
"ACCN3","blue",2
"ACCN4","grey",0
"ACCS","turquoise",1
"ACD","brown",3
"ACE","brown",3
"ACER2","grey",0
"ACER3","grey",0
"ACHE","turquoise",1
"ACIN1","blue",2
"ACLY","turquoise",1
"ACN9","grey",0
"ACO1","turquoise",1
"ACO2","turquoise",1
"ACOT11","blue",2
"ACOT12","grey",0
"ACOT13","grey",0
"ACOT6","grey",0
"ACOT7","blue",2
"ACOT8","turquoise",1
"ACOX1","turquoise",1
"ACOX2","grey",0
"ACOX3","brown",3
"ACOXL","grey",0
"ACP1","grey",0
"ACP2","turquoise",1
"ACP5","turquoise",1
"ACP6","turquoise",1
"ACPL2","grey",0
"ACPP","blue",2
"ACR","green",5
"ACRBP","brown",3
"ACSBG1","blue",2
"ACSBG2","grey",0
"ACSF2","blue",2
"ACSF3","brown",3
"ACSL1","blue",2
"ACSL3","grey",0
"ACSL5","blue",2
"ACSL6","blue",2
"ACSM1","brown",3
"ACSM3","blue",2
"ACSM4","brown",3
"ACSM5","brown",3
"ACSS1","blue",2
"ACSS2","grey",0
"ACSS3","grey",0
"ACTA1","yellow",4
"ACTA2","grey",0
"ACTB","turquoise",1
"ACTBL2","brown",3
"ACTC1","yellow",4
"ACTG1","green",5
"ACTL6A","turquoise",1
"ACTL6B","yellow",4
"ACTL7B","grey",0
"ACTL8","brown",3
"ACTL9","grey",0
"ACTN1","blue",2
"ACTN2","brown",3
"ACTN3","turquoise",1
"ACTN4","green",5
"ACTR10","turquoise",1
"ACTR1A","turquoise",1
"ACTR1B","grey",0
"ACTR2","grey",0
"ACTR3","grey",0
"ACTR3B","grey",0
"ACTR5","turquoise",1
"ACTR6","turquoise",1
"ACTRT2","brown",3
"ACVR1","green",5
"ACVR1B","grey",0
"ACVR1C","grey",0
"ACVR2A","turquoise",1
"ACVR2B","grey",0
"ACVRL1","grey",0
"ACY1","turquoise",1
"ACYP1","turquoise",1
"ACYP2","grey",0
"ADA","grey",0
"ADAD1","grey",0
"ADAD2","grey",0
"ADAL","grey",0
"ADAM10","turquoise",1
"ADAM11","blue",2
"ADAM12","yellow",4
"ADAM15","grey",0
"ADAM17","turquoise",1
"ADAM19","grey",0
"ADAM2","brown",3
"ADAM22","turquoise",1
"ADAM23","grey",0
"ADAM28","blue",2
"ADAM29","grey",0
"ADAM32","brown",3
"ADAM33","brown",3
"ADAM8","blue",2
"ADAM9","turquoise",1
"ADAMTS1","blue",2
"ADAMTS10","brown",3
"ADAMTS13","grey",0
"ADAMTS14","brown",3
"ADAMTS15","brown",3
"ADAMTS16","yellow",4
"ADAMTS17","grey",0
"ADAMTS18","yellow",4
"ADAMTS19","yellow",4
"ADAMTS2","brown",3
"ADAMTS20","yellow",4
"ADAMTS4","blue",2
"ADAMTS5","yellow",4
"ADAMTS6","grey",0
"ADAMTS7","turquoise",1
"ADAMTS8","yellow",4
"ADAMTS9","yellow",4
"ADAMTSL3","yellow",4
"ADAMTSL4","turquoise",1
"ADAMTSL5","grey",0
"ADAP1","blue",2
"ADAP2","brown",3
"ADAR","grey",0
"ADARB1","grey",0
"ADARB2","brown",3
"ADAT1","turquoise",1
"ADAT2","turquoise",1
"ADAT3","turquoise",1
"ADC","grey",0
"ADCK1","turquoise",1
"ADCK2","turquoise",1
"ADCK4","turquoise",1
"ADCK5","grey",0
"ADCY2","yellow",4
"ADCY3","grey",0
"ADCY4","brown",3
"ADCY5","brown",3
"ADCY6","grey",0
"ADCY7","blue",2
"ADCY8","yellow",4
"ADCY9","grey",0
"ADCYAP1","yellow",4
"ADCYAP1R1","brown",3
"ADD1","grey",0
