"DMR","CpGs"
"chr1_DMR_1","cg13898430;cg07236781;cg19774846;cg12459932;cg09993145;cg27058497;cg11585280;cg13461622;cg14425908;cg16529592;cg06640822;cg04554131;cg07801894"
"chr1_DMR_2","cg25625457;cg00942920;cg06958535;cg12022621;cg23893629;cg10117369;cg17711527"
"chr1_DMR_3","cg14179389;cg04838747;cg01786314;cg22488998;cg18182148;cg06647562;cg18221467;cg26015176;cg18146737;cg20813081;cg13930300;cg08664810;cg15068050;cg04158367;cg23812393;cg05796321;cg24683414;cg17858328;cg11412935;cg18316974;cg10832495;cg07011357;cg13359699;cg00697033;cg27432653;cg23807354;cg16358430;cg11785652;cg10399789;cg27290394;cg25232660;cg24517501;cg01766941;cg09662411;cg01258522;cg09364089;cg09022720;cg16707062;cg23624705;cg16297569;cg08892208;cg22341104;cg07968720;cg07805029;cg06338710;cg25320328;cg09935388;cg16372625;cg24999255;cg15394350;cg04535902;cg14475915;cg20125091;cg12810233;cg20244474;cg22628500;cg00791905;cg03439815;cg09674502;cg13138155;cg12876356;cg04777348"
"chr1_DMR_4","cg03440588;cg22438763;cg08638320;cg05658236;cg13851904;cg24931632;cg09269866;cg18595867;cg05402131;cg09277376"
"chr1_DMR_5","cg00172603;cg09890699;cg19963589;cg06358171;cg10426951;cg08641990"
"chr1_DMR_6","cg13448978;cg21115433;cg09370867;cg05783223;cg16922167;cg00065048;cg16897005"
"chr1_DMR_7","cg17220933;cg21204904;cg01860753;cg26271110;cg22401939;cg01917016;cg02589695;cg05756492;cg08617916;cg02035751;cg23520347;cg06949439;cg22871559;cg21218864;cg06872036;cg25593159;cg14163311;cg01442843"
"chr1_DMR_8","cg02711163;cg20169988;cg03165378;cg23092820;cg26937038;cg25286012;cg15160801;cg05848175;cg11787791;cg16139316"
"chr1_DMR_9","cg17324198;cg21826784;cg13862210;cg15527643;cg25467652;cg25550184;cg04444949;cg08945450;cg20164720;cg18327319;cg17350448;cg08425760"
"chr1_DMR_10","cg07033820;cg06763823;cg09756525;cg10204320;cg01804679;cg01627483;cg11960677;cg17705658;cg02830936;cg16985778;cg04556220;cg09942999;cg14167389"
"chr1_DMR_11","cg07786657;cg09032544;cg09554443;cg14278300;cg05799811"
"chr1_DMR_12","cg18128887;cg25140783;cg01519464;cg00716040;cg26692749;cg07965110"
"chr1_DMR_13","cg04340595;cg07970040;cg12033075;cg07499142;cg01320698"
"chr1_DMR_14","cg00490406;cg10636246;cg07195224;cg27541604;cg11003133;cg17217296"
"chr1_DMR_15","cg20335425;cg20070090;cg24898863;cg01431057;cg20256009;cg09174555"
"chr1_DMR_16","cg08864105;cg19269039;cg19268695;cg09826895;cg00619207;cg23631538;cg20317872;cg20970369"
"chr1_DMR_17","cg03421440;cg01515515;cg13299824;cg14732540;cg02935097;cg06442199;cg19245011"
"chr1_DMR_18","cg13991834;cg12486521;cg13801402;cg24550026"
"chr1_DMR_19","cg09070378;cg24465943;cg26394055;cg20609803;cg07356342;cg13853198;cg05659526"
"chr1_DMR_20","cg14523574;cg18190832;cg18761349;cg07285167;cg11674933;cg15210817;cg13084345"
"chr1_DMR_21","cg04995846;cg22018051;cg12473916;cg09025625;cg25603883;cg16254756;cg19356022"
"chr1_DMR_22","cg14669379;cg11574975;cg08256939;cg10376161;cg07314829;cg00543976"
"chr1_DMR_23","cg12034678;cg13170051;cg11177980;cg05388840;cg03450107;cg09160123;cg15482882;cg19637387"
"chr1_DMR_24","cg21161394;cg12446199;cg11958495;cg01396157;cg06900257;cg12184421;cg02648847"
"chr1_DMR_25","cg18759102;cg15090440;cg05354921;cg23689722;cg13393782;cg22860172;cg14966901;cg07209071"
"chr1_DMR_26","cg02481000;cg26930596;cg17435831;cg07693617"
"chr1_DMR_27","cg19519737;cg03541887;cg23230830;cg16824319;cg04162032;cg10402995;cg01878406;cg04024799"
"chr1_DMR_28","cg24863642;cg10318121;cg12754671;cg08850169;cg21930487;cg07580762;cg21691116;cg23274951;cg24049880;cg05656486;cg16275967"
"chr1_DMR_29","cg26860337;cg11211259;cg01428953;cg21917676;cg02516288;cg10017653;cg02896201;cg25912717;cg16416987;cg06237414;cg07161239;cg12543649"
"chr1_DMR_30","cg04483506;cg25762068;cg08261032;cg09318066;cg05969021;cg11336311;cg20811145;cg20485144;cg09858862;cg18150584;cg22258437;cg21686225;cg19532954;cg25287482;cg27518976;cg02343604;cg03535461"
"chr1_DMR_31","cg01367992;cg18865207;cg18920397"
"chr1_DMR_32","cg19712659;cg26328951;cg07033395;cg15601452;cg12640482;cg03542031"
"chr1_DMR_33","cg02994863;cg22624827;cg25013852;cg24585453;cg05270688;cg05210526;cg22793634;cg03373115;cg15590153;cg24370698"
"chr1_DMR_34","cg00466108;cg26615127;cg04994405;cg08856601;cg09235539;cg24550010;cg09082287;cg20299703;cg04567445;cg04993276"
"chr1_DMR_35","cg11683242;cg12710152;cg17078393;cg01525376;cg06517940;cg05350315;cg07571745;cg04249754"
"chr1_DMR_36","cg08469215;cg10096929;cg20570016;cg21003380;cg07234388;cg06497051"
"chr1_DMR_37","cg02590572;cg03916225;cg10045881;cg14414943;cg25211348;cg09474476;cg01440333;cg09516523;cg26366091"
"chr1_DMR_38","cg15892497;cg20975414;cg10798745;cg12832565;cg08614201"
"chr1_DMR_39","cg27565899;cg16140253;cg20253872"
"chr1_DMR_40","cg04980428;cg06092310;cg05193538;cg16417374"
"chr1_DMR_41","cg10196290;cg19624799;cg01564977;cg01942927;cg21400549;cg25413757;cg06776976;cg17161026;cg21810910;cg16607815"
"chr1_DMR_42","cg13057898;cg17848003;cg22529645;cg13558682;cg17443473;cg11430783;cg18436788;cg23277830"
"chr1_DMR_43","cg11684022;cg16491046;cg12133425;cg26396086;cg24404823;cg01846776;cg01184522;cg13911707;cg04020309;cg16710146;cg22367492"
"chr1_DMR_44","cg15602298;cg24881910;cg15202552;cg19602479;cg05384663;cg17134153;cg25259754;cg08786003"
"chr1_DMR_45","cg21527621;cg10266490;cg21448423;cg02905900;cg10710218"
"chr1_DMR_46","cg08545398;cg27428660;cg12759997;cg04121115;cg20511056;cg19088859;cg24718838;cg15309223;cg01182697;cg22813220;cg15034763;cg20793071;cg10362426;cg11674773;cg08526412;cg04853151;cg04863508"
"chr1_DMR_47","cg16993682;cg00173005;cg27534912;cg07548313;cg22610434"
"chr1_DMR_48","cg22863889;cg25214914;cg21284779;cg08403419;cg08525145;cg04233230"
"chr1_DMR_49","cg14220628;cg17419935;cg26354882;cg10632266;cg22021644;cg04846203;cg05308895;cg10460873;cg01565130"
