DMR,Gene,Assignment_Type,Distance_to_TSS
chr1_DMR_1,RUNX3,CpG,0.0
chr1_DMR_2,LAX1,CpG,0.0
chr1_DMR_3,GFI1,CpG,0.0
chr1_DMR_4,FOXD2,CpG,0.0
chr1_DMR_4,MGC12982,CpG,0.0
chr1_DMR_5,SSBP3,CpG,0.0
chr1_DMR_6,FGR,CpG,0.0
chr1_DMR_7,RASSF5,CpG,0.0
chr1_DMR_8,S100A9,CpG,0.0
chr1_DMR_9,AGTRAP,CpG,0.0
chr1_DMR_10,MTMR9L,CpG,0.0
chr1_DMR_11,CD247,CpG,0.0
chr1_DMR_12,RCAN3,CpG,0.0
chr1_DMR_13,CLSTN1,CpG,0.0
chr1_DMR_13,PIK3CD,CpG,0.0
chr1_DMR_14,AIM2,CpG,0.0
chr1_DMR_15,S100A8,CpG,0.0
chr1_DMR_16,DENND2D,CpG,0.0
chr1_DMR_17,BRDT,CpG,0.0
chr1_DMR_18,BCL2L15,CpG,0.0
chr1_DMR_19,NDUFS2,CpG,0.0
chr1_DMR_19,FCER1G,CpG,0.0
chr1_DMR_20,CSF3R,CpG,0.0
chr1_DMR_21,SHC1,CpG,0.0
chr1_DMR_22,ADORA3,CpG,0.0
chr1_DMR_23,HIVEP3,CpG,0.0
chr1_DMR_24,CD247,CpG,0.0
chr1_DMR_25,PRDM16,CpG,0.0
chr1_DMR_26,PRKCZ,CpG,0.0
chr1_DMR_27,LOC646627,CpG,0.0
chr1_DMR_28,NDUFS2,CpG,0.0
chr1_DMR_29,MTX1,CpG,0.0
chr1_DMR_29,THBS3,CpG,0.0
chr1_DMR_30,ID3,CpG,0.0
chr1_DMR_31,LY9,CpG,0.0
chr1_DMR_32,SNHG12,CpG,0.0
chr1_DMR_32,SNORA61,CpG,0.0
chr1_DMR_32,SNORD99,CpG,0.0
chr1_DMR_33,PGM1,CpG,0.0
chr1_DMR_34,DNAJC6,CpG,0.0
chr1_DMR_35,LCK,CpG,0.0
chr1_DMR_36,TMEM79,CpG,0.0
chr1_DMR_37,CHI3L2,CpG,0.0
chr1_DMR_38,CD160,CpG,0.0
chr1_DMR_39,AMPD2,CpG,0.0
chr1_DMR_40,MAN1C1,CpG,0.0
chr1_DMR_41,TMEM206,CpG,0.0
chr1_DMR_42,LRRC47,CpG,0.0
chr1_DMR_43,ZNF496,CpG,0.0
chr1_DMR_44,FCRL3,CpG,0.0
chr1_DMR_45,ACOT11,CpG,0.0
chr1_DMR_46,TMEM59,CpG,0.0
chr1_DMR_46,C1orf83,CpG,0.0
chr1_DMR_47,CD1C,CpG,0.0
chr1_DMR_48,RXFP4,CpG,0.0
chr1_DMR_49,MPZL1,CpG,0.0
chr1_DMR_50,PHACTR4,CpG,0.0
chr1_DMR_51,MIB2,CpG,0.0
chr1_DMR_52,ZNF238,CpG,0.0
chr1_DMR_53,SKI,CpG,0.0
chr1_DMR_54,TNFRSF8,CpG,0.0
chr1_DMR_55,TPM3,CpG,0.0
chr1_DMR_55,MIR190B,CpG,0.0
chr1_DMR_56,NLRP3,CpG,0.0
chr1_DMR_57,TP73,CpG,0.0
chr1_DMR_57,WDR8,CpG,0.0
chr1_DMR_58,FAM176B,CpG,0.0
chr1_DMR_58,C1orf113,CpG,0.0
chr1_DMR_59,LCK,CpG,0.0
chr1_DMR_60,GNG12,CpG,0.0
chr1_DMR_61,PRUNE,CpG,0.0
chr1_DMR_61,FAM63A,CpG,0.0
chr1_DMR_62,TAL1,CpG,0.0
chr1_DMR_63,KIAA1614,CpG,0.0
chr1_DMR_64,RCC2,CpG,0.0
chr1_DMR_65,INPP5B,CpG,0.0
chr1_DMR_66,SH2D2A,CpG,0.0
chr1_DMR_66,NTRK1,CpG,0.0
chr1_DMR_67,HIVEP3,CpG,0.0
chr1_DMR_68,TIE1,CpG,0.0
chr1_DMR_69,PVRL4,CpG,0.0
chr1_DMR_70,HLX,CpG,0.0
chr1_DMR_71,TRAF5,CpG,0.0
chr1_DMR_73,AHCYL1,CpG,0.0
chr1_DMR_74,IFI44L,CpG,0.0
chr1_DMR_75,BGLAP,CpG,0.0
chr1_DMR_77,KIF21B,CpG,0.0
chr1_DMR_78,PTGFRN,CpG,0.0
chr1_DMR_79,LUZP1,CpG,0.0
chr1_DMR_80,IL19,CpG,0.0
chr1_DMR_81,MIR551A,CpG,0.0
chr1_DMR_81,MEGF6,CpG,0.0
chr1_DMR_82,RPS6KA1,CpG,0.0
chr1_DMR_83,IER5,CpG,0.0
chr1_DMR_84,EDARADD,CpG,0.0
chr1_DMR_85,RNF220,CpG,0.0
chr1_DMR_86,MOV10,CpG,0.0
chr1_DMR_87,PLEKHA6,CpG,0.0
chr1_DMR_88,DSTYK,CpG,0.0
chr1_DMR_89,PCNXL2,CpG,0.0
chr1_DMR_90,PANK4,CpG,0.0
chr1_DMR_91,PPFIA4,CpG,0.0
chr1_DMR_93,CD1E,CpG,0.0
chr1_DMR_94,ATP8B2,CpG,0.0
chr1_DMR_94,AQP10,CpG,0.0
